Run,AGE,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,birth_date,birth_location,BREED,breeding_history,breeding_method,Bytes,cell_line,cell_subtype,cell_type,Center Name,collected_by,Collection_Date,Consent,culture_collection,DATASTORE filetype,DATASTORE provider,DATASTORE region,death_date,dev_stage,disease,disease_stage,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,growth_protocol,health_state,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Phenotype,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,sex,specimen_voucher,SRA Study,store_cond,strain,stud_book_number,tissue,treatment,AssemblyName
SRR1449254,2 years,RNA-Seq,189,2849375239,DEPI,PRJNA251439,SAMN02822091,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,1565843625,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562366,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2014-07-17T00:00:00Z,2014-07-15T16:14:00Z,1,Btau_HOL_0125_adrenal gland,Missing,female,Missing,SRP042639,Missing,Missing,Missing,adrenal gland,Missing,GCF_000003055.5
SRR1449255,2 years,RNA-Seq,189,3342963393,DEPI,PRJNA251439,SAMN02822091,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,1848741134,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562366,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2014-07-17T00:00:00Z,2014-07-15T17:08:00Z,1,Btau_HOL_0125_adrenal gland,Missing,female,Missing,SRP042639,Missing,Missing,Missing,adrenal gland,Missing,GCF_000003055.5
SRR1449256,2 years,RNA-Seq,188,2735504068,DEPI,PRJNA251439,SAMN02822092,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,1507949211,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562367,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2014-07-17T00:00:00Z,2014-07-15T16:12:00Z,1,Btau_HOL_0125_brain caudal lobe,Missing,female,Missing,SRP042639,Missing,Missing,Missing,brain caudal lobe,Missing,GCF_000003055.5
SRR1449257,2 years,RNA-Seq,189,2375360182,DEPI,PRJNA251439,SAMN02822092,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,1304031659,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562367,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2014-07-17T00:00:00Z,2014-07-15T16:11:00Z,1,Btau_HOL_0125_brain caudal lobe,Missing,female,Missing,SRP042639,Missing,Missing,Missing,brain caudal lobe,Missing,GCF_000003055.5
SRR1449258,2 years,RNA-Seq,188,3337718811,DEPI,PRJNA251439,SAMN02822092,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,1850953955,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562367,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2014-07-17T00:00:00Z,2014-07-15T16:56:00Z,1,Btau_HOL_0125_brain caudal lobe,Missing,female,Missing,SRP042639,Missing,Missing,Missing,brain caudal lobe,Missing,GCF_000003055.5
SRR1449259,2 years,RNA-Seq,189,3400755193,DEPI,PRJNA251439,SAMN02822093,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,1862050714,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562368,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2014-07-17T00:00:00Z,2014-07-15T17:21:00Z,1,Btau_HOL_0125_brain cerebellum,Missing,female,Missing,SRP042639,Missing,Missing,Missing,brain cerebellum,Missing,GCF_000003055.5
SRR1449260,2 years,RNA-Seq,189,2820496885,DEPI,PRJNA251439,SAMN02822093,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,1550955162,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562368,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2014-07-17T00:00:00Z,2014-07-15T14:07:00Z,1,Btau_HOL_0125_brain cerebellum,Missing,female,Missing,SRP042639,Missing,Missing,Missing,brain cerebellum,Missing,GCF_000003055.5
SRR1449261,2 years,RNA-Seq,187,2125150568,DEPI,PRJNA251439,SAMN02822093,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,1185143397,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562368,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2014-07-17T00:00:00Z,2014-07-15T13:58:00Z,1,Btau_HOL_0125_brain cerebellum,Missing,female,Missing,SRP042639,Missing,Missing,Missing,brain cerebellum,Missing,GCF_000003055.5
SRR1449263,2 years,RNA-Seq,182,2260928030,DEPI,PRJNA251439,SAMN02822094,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,1253546294,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562369,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2014-07-17T00:00:00Z,2014-07-15T13:54:00Z,1,Btau_HOL_0125_heart,Missing,female,Missing,SRP042639,Missing,Missing,Missing,heart,Missing,GCF_000003055.5
SRR1449264,2 years,RNA-Seq,183,1918679360,DEPI,PRJNA251439,SAMN02822094,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,1056821589,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562369,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2014-07-17T00:00:00Z,2014-07-15T13:52:00Z,1,Btau_HOL_0125_heart,Missing,female,Missing,SRP042639,Missing,Missing,Missing,heart,Missing,GCF_000003055.5
